date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:05	3416/3416	---MCZ	200	added ('OK')	text/html	etag:W/%225b5a4a39-25c1%22	http://1winuhkl.top/robots.txt		(from )
02:56:05	9665/9665	---MCZ	200	added ('OK')	text/html	etag:W/%225b5a4a39-25c1%22	http://1winuhkl.top/	C:/My%20Web%20Sites/333/1winuhkl.top/index.html	(from )
02:56:05	1854/1854	---M--	200	added ('OK')	image/png	etag:%225b5a4a39-73e%22	http://1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/333/1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-57x57.png	(from http://1winuhkl.top/)
02:56:06	1971/1971	---M--	200	added ('OK')	image/png	etag:%225b5a4a39-7b3%22	http://1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/333/1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-60x60.png	(from http://1winuhkl.top/)
02:56:06	2323/2323	---M--	200	added ('OK')	image/png	etag:%225b5a4a39-913%22	http://1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/333/1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-72x72.png	(from http://1winuhkl.top/)
02:56:06	2393/2393	---M--	200	added ('OK')	image/png	etag:%225b5a4a39-959%22	http://1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/333/1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-76x76.png	(from http://1winuhkl.top/)
02:56:06	3582/3582	---M--	200	added ('OK')	image/png	etag:%225b5a4a39-dfe%22	http://1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/333/1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-114x114.png	(from http://1winuhkl.top/)
02:56:07	3843/3843	---M--	200	added ('OK')	image/png	etag:%225b5a4a39-f03%22	http://1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/333/1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-120x120.png	(from http://1winuhkl.top/)
02:56:07	4654/4654	---M--	200	added ('OK')	image/png	etag:%225b5a4a39-122e%22	http://1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/333/1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-144x144.png	(from http://1winuhkl.top/)
02:56:07	4973/4973	---M--	200	added ('OK')	image/png	etag:%225b5a4a39-136d%22	http://1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/333/1winuhkl.top/icons-20c6a7f175d3474d6cb9fefdacb7308f/apple-touch-icon-152x152.png	(from http://1winuhkl.top/)
